,coin_name,symbol,description,total_coin_supply,algorithm,proof,start_date,total_coins_mined,exchanges
1302,TBIS token,BAR,"Titanium Infrastructure Services is an Infrastructure as a Service (IaaS) platform that allows entire IT enterprises to be hosted on the Ethereum blockchain, e.g., Firewalls, Load-Balancers, Routers, Switches, Servers, Desktops, and more. TBIS is an ERC20 token and will not be the only means of paying for products and services within the TBIS ecosystem.",100000000,,,01/12/2017,,"Tidex, WavesDEX"
1303,ScryptCoin,SCRPT,ScryptCoin is a Proof of Work currency made for the Scrypt algorithm miners and users. SCRPT plans to add a feature in which any scrypt algorithm coin to be mined and converted through the SCRPT wallet.,34181818,Scrypt,PoW,26/06/2016,,Yobit
1304,Icobid,ICOB,"Icobid is a Proof of Work/Proof of Stake cryptocurrency that fuels the Icobid platform. The Icobid platform will  be the place for users to join, share ideas, vote for best ideas and earn by expressing their opinions, allowing users to easily publish teir proposals to be voted on and funded.",200000000 ,Scrypt,PoW/PoS,13/01/2017,107048455.12143768,"Yobit, Cryptopia, Novaexchange"
1305,XP,XP,"XP is a PoW/PoS cryptocurrency that acts as a rewards incentive designed to reward gamers, students, people positively contributing to society and providing a universal high street currency.",,SHA256,PoW/PoS,21/07/2017,247126744569.39078,Novaexchange
1306,Dark Lisk,DISK,"Dark Lisk is a PoW/PoS hybrid that will change to full PoS when 100000 are mined, awarding users with a 200% annual interest for Proof of Stake Mining. Dark Lisk uses the algorithm X11, which provides fast and anonymous transactions.",,X11,PoW/PoS,09/04/2016,,Yobit
1307,IrishCoin,IRL,"IrishCoin is a PoW cryptocurrency based on the Scrypt algorithm. The IrishCoin will be used to promote the Irish tourism, providing the coin as a discount token vehicle and a tourist organizational branding.",64000000,Scrypt,PoW,17/05/2017,39563599.33981824,"Cryptopia, Novaexchange"
1308,SaffronCoin,SFR,"SaffronCoin (SFR) is a PoW coin based on mining with any of these five algorithms - SHA-256, Scrypt, Groestl, X11 or Blake256. The difficulty is adjusted individually for each algorithm so the probability of finding a hash remains the same for algorithm type. There are random superblocks and the block time is 450 seconds with a hard cap of 111 million.",111000000,Multiple,PoW,27/04/2014,,"BitTrex, Cryptsy, BTER"
1309,Dropcoin,DRC,"Dropcoin allows both digital payment through Dropfood ecosystem and physical transaction via networks of Dropfood IoT vending machines across Southeast Asia.The coin will enable financial services such as money transfer, loans and P2P lending for the 400+ million unbanked people in Southeast Asia.",500000000,,PoS,21/09/2017,,
1310,Macroverse,MRV,"Macroverse proposes to develop a ready-made procedurally-generated universe, called Macroverse, and to deploy it on the Ethereum blockchain. Macroverse will take the form of a set of smart contracts implementing the Macroverse Generator (MG), which can be queried by smart-contractbased games written by developers. Game contracts will call the MG to request information on the state of the Macroverse world, and the MG will use procedural generation to synthesize the information and will then return it to the game.Access to Macroverse, and specifically the ability to interact with the MG smart contracts, will be controlled by a token: the Macroverse Token (MRV). The token which functions as a transferable, divisible software license. In the initial access control implementation, players will need to hold a configurable minimum MRV balance in order to use games or other applications that query the MG. Additionally, the MRV token will be used to claim ownership of land, or even entire planets or star systems, in the shared Macroverse world, conferring in-game benefits in supported games.",668908,,,01/07/2017,668907.5704036707,"EtherDelta, HitBTC"
1311,Sojourn Coin,SOJ,Sojourn is a Scrypt cryptocurrency that is based on a hotel point-system for the Sojourn hotel booking website allowing reservations to be made and paid in cryptocurrencies. SOJ difficulty of crypto payments from the travel platform while providing a reward system for the client.,10500000000,Scrypt,PoW,12/07/2017,485214.0,Novaexchange
1312,Social Send,SEND,Social Send is a hybrid PoW/PoS cryptocurrency based on Quark algorithm.,150000000,Quark,PoW/PoS,01/12/2017,,Cryptopia
1313,TrumpCoin,TRUMP,"TrumpCoin was named after the political candidate, Donald Trump and it promotes some of the same ideals they see in said candidate, such as: Free Speech and Fair Trade Capitalism.  Since TrumpCoin relies heavily on the election for publicity, the Dev team have come up with a solution to assure TRUMP holders will not suffer from this decrease in demand: TRUMP will be exchangeable 1-1 for Teth tokens (TrumpTech) that will be built on the the Ethereum network in order to support smart contracts and Dapp",12000000,Blake,PoS,11/04/2016,6551046.85124015,"Yobit, Cryptopia, CCEX, Novaexchange, LiveCoin"
1314,Verge,XVG,"Verge is a scrypt based alternative crypto currency trying to take the popularity of both Dogecoin and Bitcoin and combine it with the anonymous features of DASH. The block time is 30 seconds and the coin operates through Proof of Work.VERGE prides itself on being a symbol of progression in the cryptocurrency world. It is a more secure, private, and evolving cryptocurrency that is backed by bitcoin, a ton of developer resources and privacy tools (located here!)Block reward:Block 0 to 14,000 : 200,000 coins14,000 to 28,000 : 100,000 coins28,000 to 42,000: 50,000 coins42,000 to 210,000: 25,000 coins210,000 to 378,000: 12,500 coins378,000 to 546,000: 6,250 coins546,000 to 714,000: 3,125 coins714,000 to 2,124,000: 1,560 coins2,124,000 to 4,248,000: 730 coinsApproximately total reward: 9 Billion (9,000,000,000) during first year then issuing 1 billion (1,000,000,000) each year after.",16555000000,Multiple,PoW,15/02/2016,14518388978.245611,"BitTrex, Novaexchange, Cryptopia, HitBTC, Yobit, CCEX, Binance"
1315,Argentum,ARG,Argentum is another fast block time coin at 32 seconds. It is a scrypt proof of work coin with difficulty retargetting every 250 blocks. The name comes from the Latin for silver and the coin will have a 1.1% annual inflation after the the hard coded total coin cap is reached. The block reward is random and the maximum block size is 10mb.,64000000,Scrypt,PoW,11/06/2011,0.0,"Cryptopia, Novaexchange, Cryptsy"
1316,Matryx,MTX,"Matryx is a decentralized platform created to make online collaboration more efficient through a a bounty system, a library of digital assets, and a marketplace. In the platform, users can post problems/jobs, along with a bounty for their solution, allowing bounty hunters in the platform to complete the bounty in collaboration and to share the rewards. Rewards are given to all relevant contributors, and all submissions are added to the Matryx library and marketplace for future purchase.The MTX is an Ethereum-based token that allows users to interact with the platform. Bounties are paid in MTX on the platform.",,,,01/01/0001,,EtherDelta
1317,PotCoin,POT,PotCoin is another scrypt coin launched at the start of 2014. PotCoin is supposed to empower and facilitate the marijuana industry. The first 55 blocks were premined for checkpoints - and the coin has a relatively fast blocktime of 40 seconds.,420000000,Scrypt,PoW,21/01/2014,219255294.02682245,"Cryptopia, Poloniex, Bleutrade, TuxExchange, Cexio, Cryptsy, Novaexchange, BitTrex"
1318,ScryptToken,SCT,ScryptToken is a Proof of Work/Proof of Stake cryptocurrency using the Scrypt algorithm. SCT has an APY of 5% in PoS rewards.,8842105,Scrypt,PoW/PoS,01/01/0001,,"Yobit, EtherDelta"
1319,BitSend,BSD,"BitSend is Pow/PoS hybrid cryptocurrency with a 100 years mining period. Users can earn rewards by running a masternode or mining with computational power. BitSend uses the X11 hashing algorithm, which allows features like Darksend and InstantX. Darksend allows users to send BSD anonymously and InstantX reduces confirmation period.",139000000,X11,PoW/PoS,07/06/2014,17978550.0,"Novaexchange, BitTrex, Cryptopia, LiveCoin"
1320,Shilling,SH,Shilling is a Proof of Work cryptocurrency created for the African crypto community.,30000000,Scrypt,PoW,16/08/2016,5557500.0,"Yobit, Novaexchange"
1321,Newbium,NEWB,"Newbium is a platform that aims to provide real-time cryptocurrency market data. Newbium platform will feature real-time charts, a wallet and news about the cryptosphere.",49000000,,,30/03/2016,49000000.0,"CCEX, EtherDelta"
1322,DayTrader Coin,DTC*,DTC or Day TRader Coin is an X13 proof of work and proof of stake alternative crypto currency to Bitcoin with an annualised interest rate of 20%.,1000000,X13,PoW/PoS,19/10/2014,,"BTER, CCEX"
1323,ECC,ECC,ECC is a PoS cryptocurrency based on the Scrypt algorithm.,25000000000,Scrypt,PoS,30/03/2015,25000000000.0,
1324,XDE II,XDE2,"XDE II is a XDE swapped cryptocurrency, it&#39;s a 100% Proof of Stake coin with a 500% annual interest rate.",,SHA256,PoS,31/12/2015,127537.99291804,"Yobit, Cryptopia"
1325,Waves Community Token,WCT,The Waves Community Token (WCT) is a Waves Platform asset intended to provide a tool for community assessment of crowdfunding campaigns launched on the Waves platform and to incentivize long-term holding by providing an additional income stream for WAVES token holders in the form of regular asset distributions. WCT will be a virtual community organization. It will be launched in several stages based on the technical maturity of the Waves platform.,10000000,,,03/01/2017,0.0,"WavesDEX, Tidex"
1326,Sativa Coin,STV,Sativa Coin is a proof of work and proof of stake hybrid alternative crypto currency with a coin total of 10 million and an annualised interest rate of 5%.,10000000,X13,PoW/PoS,21/09/2014,7088657.0,"Yobit, BitTrex, Cryptopia, Novaexchange"
1327,GATCOIN,GAT,"The GAT system is a platform where global merchants can issue their own branded digital tokens that can be used as discounts, gift cards and other promotional offerings (Merchant Tokens) to a mass consumer audience with minimal set-up, allowing them to quickly adopt token usage as part of their overall marketing strategy. GATCOIN is an Ethereum-based token that acts as the native currency for the trade of Merchant Tokens on the GAT Exchange.",1000000000,,,28/10/2017,,
1328,FundRequest,FND,"FundRequest is an integrated platform to fund open source projects, thus financially incentivizing the open source community. The platform allows developers to fix bugs or to program additional features for an existing application. FundRequest will be developed on the Ethereum Blockchain, and aims to leverage upon a decentralized ecosystem as it reduces both operational and regulatory burdens and protects against organisational corruption such as fraud and embezzlement. FundRequest creates smart contracts to incentivize developers to solve a problem in the open source community. ",,,,28/11/2016,,
1329,MasterCar,MCAR,MCAR is a PoS cryptocurrency based on the Scrypt algorithm. It was built as a currency for an online car game.,2991837,Scrypt,PoW/PoS,06/03/2015,,Yobit
1330,GameLeagueCoin,GML,"GameLeagueCoin (GLC) is a PoW/PoS crypto currency with a difficulty retargetting every block and a block time of 60 seconds. The coin is scrypt and the POS carries an interest rate of 50% in Y1, 20% Y2, 10% Y3, 5% Y4, 2% Y5 and 1% thereafter. The coin was 100% premined for use in an online game.",500000000,Scrypt,PoW/PoS,04/05/2014,,"Yobit, Cryptsy, Poloniex, BitTrex"
1331,MMNXT ,MMNXT,"MMNXT is a NXT asset that paid dividends to holders and works as an automated trading fund for NXT asset exchange. MMNXT has recently merged with EIX and formed the NEXT asset. Even though MMNXT does not pay dividends and is no longer swappable for NEXT, it can be freely traded in the regular exchange markets.Asset ID: 979292558519844732",50000000,,,01/01/0001,50000000.0,Poloniex
1332,BreakoutCoin,BRK,"Breakout Chain is Multicurrency Blockchain based platform. Breakout Chain allows the issuance of colored coins, pegged currencies and the deployment of smart contracts Break Chain&#39;s main currency is BreakCoin (BRK), which can also be used to gamble on the Breakout Gaming Platform.",42000000,SHA256,PoW/PoS,15/10/2015,0.0,"Novaexchange, BitTrex"
1333,Fitcoin,FIT,Fitcoin is a Proof of Work/Proof of Stake cryptocurrency created to fit perfectly between finance and information technology. FIT uses the X11 algorithm.,8880000000,X11,PoW/PoS,01/08/2016,,"Yobit, CCEX, EtherDelta"
1334,Neumark,NEU,"Neufund is a fundraising platform for startups and existing businesses. Startups/existing businesses will be able to present their projects in the platform for which they want to receive a venture capital. When accepted in the platform, an ETO (Equity Token Offering) takes place and users can decide either to invest in it or not.Neumark is an ERC20 token based on the Ethereum blockchain. It will allow users to invest in the listed companies in the platform and benefit as shareholders. Furthermore, it gives users rights to platform fees (for example, the fee charged to the companies for the ETO) and rights to participate in the platform portfolio.",1500000000,,,14/08/2017,53020957.66805273,"Liqui, EtherDelta, BitTrex, Cryptsy"
1335,CheckCoin,CXC,"Total Coin Supply: 5,000,000 Distributed among 93 Investors which invested the total amount of 85.52154000 BTC in the ICO.ICO AUCTION ENDED AT 0.00001710 BTC/CXCProof-of-Stake Interest Rate (per annum): 4%Block Spacing: 60 secondsBlocks to Maturity: 60",100000000,,PoS,30/10/2014,0.0,BitTrex
1336,Reality Clash,RCC,"RCC Gold Coins is an Ethereum-based token that will serve as an in-game currency for what is described as ""most comprehensive and advanced social augmented reality combat game in the market"", Reality Cash, which will be available for iPhone and Android. RCC Gold coins also give users the opportunity to acquire weapons and armory that no one else will have • The token sale. All in-game content will be ERC-20 tokenized with a Blockchain-based trust list. ",150000000,,,29/08/2017,,EtherDelta
1337,EthBet,EBET,EthBet is a gambling platform that will leverage the Ethereum blockchain to provide dicing games without a mandatory house edge. EthBet users will be able to bet directly among each other (p2p) making the centralized intermediaries house bets unnecessary. Users can define a house edge on their bets.The EBET token will be used as the betting currency and to pay the platform fees. The EBET token also gives its holders voting rights over the platform development. ,10000000,,,29/08/2017,10000000.0,"HitBTC, EtherDelta"
1338,LimeCoinX,LIMX,"LimeCoinx (LIMX) is an X11 altcoin that is based on the 11 hashing functions of blake, bmx, groestl, jh, keccak, skein, luffa, cubehash, shavite, simd, and echo. The maximum money supply of LIMX is set to 21 million. The block time is 5 minutes and the difficulty retargets every 36 blocks using the Dark Gravity Wave process. The block reward is 50 coins per block and there was a 2%+ premine.",21000000 ,X11,PoW,06/06/2014,0.0,"Cryptopia, Yobit, BitTrex, Cryptsy"
1339,CoinDash,CDT,"Coindash​ is an operating system for blockchain-based assets, it has the goal of making handling and trading easy and accessible for both new and experienced users in the cryptoshpere. The CoinDash’s ecosystem includes three synergistic components: Software-as-a-Service (Saas), Social Networking and the Marketplace.SaaS: CoinDash provides analytics that give users deep insight into the performance of their investments and help them make data driven decisions.Social Network: CoinDash provides social trading features that remove barriers for new and existing crypto users by letting them follow and copy-trade top investors.Marketplace: CoinDash’s marketplace is built around opportunity discovery and streamlined trading UX with features like real-time social trading signals, an ICO dashboard, trending assets, real-time market price tables and 3rd party integration. ​Every action within the CoinDash platform requires the user to pay a fee which is paid in the CoinDash (CDT), an Ethereum-based token Every user who facilitates the use of a feature which in turn gives financial value will be entitled to a payment, creating a creator-consumer relationship between users in the system.",1000000000,,,28/03/2017,1000000000.0,"HitBTC, Gateio, Gatecoin, Binance, EtherDelta"
1340,Minex,MINEX,"Minex is a Waves-based token that allows holders to be part of an invesment project. The Minex team monitors a wide range of coins, choosing those that can be mined for a profit, allowing owners of mining hardware that do not have an in-depth understanding of how a particular coin is mined to rent out their storage.",30000000,,,04/07/2017,0.0,Cryptopia
1341,Zcrypt,ZXT,"Zcrypt is an anoymouc cryptocurrency that uses zero knowledge proofs. It uses a Proof of Work/Proof of Stake protocol with a new algorithm, LyraZ.",101000000,,PoW/PoZ,01/01/0001,,CCEX
1342,Instamine Nuggets,MINE,"InstaMineNuggets ($MINE) is a unique cryptocurrency designed to offer its users decentralized blockchain ""Crypto Coin Contracts"" offering potential rewards while striving to become a viable storage of wealth for the long-term. $MINE launched on 02-25-15 offering open-source desk top QT software for download and mining purposes. $MINE aims to produce an efficient network for miners and adopters alike.$MINE was developed utilizing the identical underlying algorithm and scrypt of Litecoin and will be capped at 21649485 million coins with 30 coins per initial block and rewards halving at block 350,000 to 15 coins. $MINE&#39;s mining reward will continue to halve every 350,000 blocks; EX: 30, 15, 7.5 until all coins are completely mined and in publics hands. Target spacing is 3 minutes with a target time span of 33 hours with rewards maturing every 3 blocks mined.",21649485,Scrypt,PoW,22/02/2015,,BitTrex
1343,Commodity Ad Network,CDX,"Commodity Ad is an Ethereum-based network that intends to pair up content creators and advertisers from the alternative media niche. In Commodity Ad&#39;s system, the users&#39; (ad audience) privacy is kept intact. CDX is an ERC20 token that serves as a currency on Commodity Ad&#39;s ecosystem.",120000000,,,23/08/2017,120000000.0,"HitBTC, EtherDelta, LiveCoin"
1344,ZoneCoin,ZNE,ZoneCoin is a Proof of Work/Proof of Stake cryptocurrency that uses the Scrypt Algorithm. It has a 64 second blocktime and 10% yearly staking rewards.,21000000,Scrypt,PoW/PoS,05/08/2016,2581970.0,Yobit
1345,NoirShares,NRS,Noirshares are another interesting concept as a coin as well as being a PoW/PoS coin - they also double as an equity investment for the NIG Group. The coin has a block reward reduction every 3000 blocks and difficulty adjustments each block. There are 80 NRS per block originally and the PoW phase is limited by a hard cap of 5million NRS. Transaction fees are destroyed and taken out of the system to counter the inflation of the PoS stage.,5000000,Scrypt,PoW/PoS,29/05/2014,,"BTC38, Cryptsy"
1346,ugChain,UGC,"ugChain is a decentralized gaming ecosystem. UGT is an Ethereum-based ERC 20 that powers ugChain&#39;s ecosystem, and also serves as voting weight in the community.",100000000,,,23/06/2017,100000000.0,OKEX
1347,Data Trading,DTT*,"Data Trading is a project that provides a set of analytical and forecasting tools for trading in stock and crypto exchange markets using AI, machine learning and neural networks for forecasting financial markets. DTT will serve as an inner system currency and will be used to pay for services of the system, or to reward developers. DTT is an ERC20 token based on the Ethereum blockchain. It will serve as an inner system currency and will be used to pay for services of the system, or to reward developers.",,,,18/12/2017,,
1348,Photon,PHO,Photon is a Proof of Work cryptocurrency based on the Blake256 algorithm. It has a 90 billion PHO supply., 90000000000,BLAKE256,PoW,21/02/2016,21173751930.346844,Cryptopia
1349,Resumeo Shares,RMS,"Resumeo Shares is a Proof of Stake cryptocurrency that represents 10% ownership of the Resumeo platform, a tool that helps employers find employees.",9188302,NIST5,PoS,10/12/2016,,"Yobit, CCEX"
1350,TechCoin,TECH,"TechCoin is a PoW/PoS cryptocurrency, currently in the Proof of Stake stage. It&#39;s based on the x13 algorithm and it has a 4% APR in staking rewards.",300000,X13,PoW/PoS,23/09/2014,,Yobit
1351,NetM,NTM,Proof of Work cryptocurrency based on the Scrypt algorithm.,101318932073.89769,Scrypt,PoW,07/08/2017,,"Yobit, Novaexchange"
1352,TokenClub ,TCT,"TokenClub is an Ethereum-based cryptocurrency investment platform, which provides investors with cryptocurrency market information, investment consulting and strategies, and other services.TCT is an ERC20 token that serves as a currency on TokenClub&#39;s ecosystem.",1000000000,,,25/12/2017,,EtherDelta
1353,Rimbit,RBT,A crypto currency aiming to be simple. Otherwise not much information available.,0,,,01/01/0001,197581050.0,"Cryptopia, CCEX, Yobit, Novaexchange"
1354,Infinity Economics,XIN*,Infinity Economics is a PoS cryptocurrency based on the SHA256.,9000000,SHA256,PoS,02/10/2017,,
1355,A-Token,ATKN," A-Token is a blockchain-based crypto-index, allowing users to invest in cryptocurrencies on the index without being exposed to the volatility of just one asset. The ATKN is a Waves-based asset that represents a share of the index.",30000000,,,26/09/2017,,WavesDEX
1356,PXcoin,PX,PX was swapped from PEX coin and it is a SHA256 PoW/PoS cryptocurrency.,,SHA256,PoW/PoS,31/07/2016,,Yobit
1357,CPROP,MLS,"CPROP’s mission is to drive standardization, automation and validation in real estate to enhance operational efficiencies, reduce costs, improve accuracy and reduce risks for all stakeholders using blockchain technology.The CPROP platform will be accessed via web or mobile app providing a way for all users to find and interact/transact with one another.All CPROP platform-related fees will be payable with a native token, the MLS. These MLS tokens will be used to pay for the various services provided by the platform such as fees for generating standardized documentation packages based on a smart contract algorithm, escrow services, government filings, and payment processing including cryptocurrency/fiat currency conversions.",100000000,,,22/10/2017,,"BitTrex, CCEX"
1358,GlobalCoin,GLC,"Globalcoin (GLC) is a scrypt based PoW coin with 70,000,000 as a hard cap - the block time is 40 seconds and transaction confirmations are 8. The block reward halves every year from 50 GLC - and difficulty retargets every block.",70000000,Scrypt,PoW,26/06/2013,65652267.15265811,"Cryptopia, Coinse, Yobit, Cryptsy"
1359,Nimiq Exchange Token,NET*,"Nimiq is a Browser-based Blockchain &amp; Ecosystem Written in Javascript ES6 designed to make cryptocurrency easier for the enduser. Using WebRTC and WebSocket connections, Nimiq&#39;s ecosystem native to the web, allowing users to sync in seconds and to mine directly from the browser.The Nimiq project is not live yet and the team has issued IOU tokens that can be traded. These tokens are callred Nimiq Exchange Tokens (NET) and they are ERC20 tokens based on the Ethereum blockchain. NET tokens will later be exchangeable for real Nimiq tokens.",10500000,,,06/06/2017,10500000.0,"Liqui, EtherDelta, HitBTC"
1360,OrlyCoin,ORLY,OrlyCoin is a meme themed cryptocurrency based on the orly?! (oh really?!) meme. ORLY is a PoW/PoS hybrid coin and can be sent anywhere for a small fee.,36000000,X15,PoW/PoS,26/02/2015,0.0,"Yobit, Novaexchange"
1361,MobileGo,EMGO,"MobileGo is a token backed by the Gamecredits, a gaming platform. The Gamecredits Team will use the blockchain technology to develop a decentralized mobile gaming store.The mobile gaming store will feature smart contracts and will be powered by the MobileGo, an ERC-20 token that will allow gamers to purchase in-game content and be rewarded for loyalty and participation in the platform.",100000000,,,16/02/2017,100000000.0,"Tidex, HitBTC"
1362,Nimfamoney,NIMFA,Nimfamoney wants to be the world’s first 100% decentralized cryptocurrency lending platform for token purchase on exchanges and ICOs for maximizing your personal profit. The platform allows investors to access 0% interest on loans to invest in blockchain companies or ICO&#39;s.,100000000,,,01/09/2017,,EtherDelta
1363,AnalCoin,ANAL,"AnalCoin is a PoW/PoS cryptocurrency. It uses the same algorithm as Bitcoin, SHA256.",600000,SHA256,,11/03/2015,,Yobit
1364,JiffyCoin,JIF,"JiffyCoin (JIF) is a worldwide decentralized payment network &amp; digital currency, inspired by Bitcoin. JiffyCoins is uses the SHA256D hashing algorithm and is 100% Proof of Work. Using, JiffyCoin, people looking for programmers/freelancers within the crypto scene will be able to register and post work to be done as well as get ratings for employers and workers. ",5108400,SHA256D,PoW,08/01/2016,,Yobit
1365,Blockchain Capital,BCAP,Blockchain Fund is a digital venture capital fund partially raised through a cryptocurrency token offering in which token holders become part of the fund investing in top companies operating within the blockchain tech sector. BCAP is an Ethereum-based token.,10000000,,,16/03/2017,10000000.0,"EtherDelta, Liqui"
1366,Regalcoin,REC,Regalcoin is a PoW/PoS hybrid cryptocurrency with a 27M supply and 5m premine.,27000000,X11,PoW/PoS,16/08/2017,7242926.60437475,Yobit
1367,Veltor,VLT,"Valtor is a cryptocurrency that focuses on stability, efficiency and long term scaling implementing a Lightning Network like feature, providing viable transaction privacy without bloating the blockchain and eliminating the drawbacks of longer block time. VLT has a 30 minute block tiem and it uses the custom hashing algorithm ""Thor&#39;s secret"".",,,PoW,12/08/2016,554855.0,Yobit
1368,GuccioneCoin,GCC,GuccioneCoin is an experimental Proof of Work cryptocurrency beta project which will be used for rewards. GCC is meant to be accepted for goods and services including paid content in the form of Micro-Purchases on the new Guccione eZine Platform.,39760000,Scrypt,PoW,25/06/2015,,"Yobit, CCEX, Novaexchange"
1369,AppCoins,APPC,"AppCoins is a cryptocurrency for app stores that gives users new app purchasing power, unleashes monetization potential for developers and increases app safety.This project provides developers a transparent and efficient way to monetise their apps and build a reputation across app stores; provides users a trusted environment with new purchasing possibilities and incentives to discover apps; and creates an app economy with a new universal language that ensures trust, transparency, and openness.",246203093,,,06/11/2017,246203093.00000003,"Binance, HuobiPro"
1370,NoLimitCoin,NLC,"NoLimitCoin is a Proof of Work/Proof of Stake hybrid created to be the currency used in the upcoming Fantasy Football game, No Limits Fantasy Sports. NLC uses SHA256D as an algorithm and has a 2 minute block time.",,SHA256D,PoW/PoS,19/08/2016,204731813.0,CCEX
1371,Ormeus Coin,ORME,Ormeus is an Ethereum-based token backed both by token sales and a geographically diverse industrial cryptocurrency mining operation. ,200000000,,,28/08/2017,200000000.0,"Cryptopia, CCEX, HitBTC, EtherDelta"
1372,MaieutiCoin,MMXIV,Maieuti Coin (MMXIV) is a coin with a whopping 2016% annualised proof of stake rate. ,2014,SHA256,PoS,24/05/2014,0.0,"Poloniex, CCEX, BitTrex"
1373,CrabCoin,CRAB,"CrabCoin is a Proof of Work/Proof of Stake that brings a light and playful tone to the cryptocurrency world. This fun themed coin was created to ""raise awareness to the existence of the Crabpeople, a species that is forced to live underground by the modern human"".",,X15,PoW/PoS,09/10/2016,,Yobit
1374,Sense,SNS,"Sense (SNS) is the native currency of Sensus, a Incentivized Crowd-Wisdom mobile application that allows users to ask and answer questions in an incentivized environment, thus producing higher quality answers and rewarding users for their time and effort.The Sensus platform will allows users to choose a target demographic, pose direct question to specific users and to build a reputation within the system. Sensus will have a built-in exchange that will allow users to trade, buy, and sell SNS with Bitcoin or even fiat currencies. The Sensus payment infrastructure is built on the Ripple network and will allow transactions to be almost instant",100000000,,,01/01/0001,100000000.0,
1375,Neutron,NTRN,Neutron is an SHA-256d crypto currency with a 79 second block time target and a 5 hour proof of stake maturity with a varying interest reward.,68000000,SHA256,PoW/PoS,19/04/2015,33574195.0,"Yobit, Novaexchange, Cryptopia, Cryptsy, BitTrex, CCEX"
1376,Cryptonex,CNX,"Cryptonex platform is developed as international acquiring and is based on blockсhain technology. Safe system based on blockchain technology is protected against unauthorized access. Users can convert fiat money to any cryptocurrencies and tokens, as well as spend cryptocurrency with the help of bank cards and mobile applications with contactless payments. Cryptonex is developed as an open source code platform. To account property rights, cryptocurrency of the same name Cryptonex, ticker CNX is used.",210000000,,,14/08/2017,106521869.52226277,"Yobit, HitBTC, EtherDelta, WavesDEX"
1377,GreenCoin,GRE,"GreenCoin Producers Official Network - A mechanism by which an open market can collectively produce, price and trade private-market carbon credits.",10000000000,Scrypt,PoW,02/06/2014,3741028640.89,"Yobit, Cryptopia, BitTrex"
1378,MaryJane Coin,MARYJ,MARYJ is an alternative Crypto Currency for the Cannabis Industry,0,X15,PoW/PoS,23/09/2014,0.0,"CCEX, BitTrex, Coinse"
1379,Viuly,VIU,"Viuly is a decentralized video sharing platform, leveraging the IPFS protocol for decentralized vídeo storage. VIU is an Ethereum-based ERC20 token that serves as a currency on Viuly&#39;s ecosystem. It also acts as the reward paid to users that watch advertised content.",1000000000,,,03/11/2017,1000000000.0,EtherDelta
1380,PrimeCoin,XPM,"Primecoin, or XPM, involves a new type of proof-of-work based on searching for prime numbers. Primecoin was created by Sunny King - who also created Peercoin. The block time is one minute and th total number of coins is 3299976 with dynamic difficulty retargetting.",,Multiple,PoW,07/07/2013,22250688.0,"Bleutrade, Cryptopia, Poloniex, Coinse, BXinth, Cryptsy, BTER, BTC38, Jubi, Novaexchange"
1381,Shacoin,SHA,Shacoin is a PoS cryptocurrency based on the Sha256 algorithm.,350000000,SHA256,PoS,12/03/2014,,Cryptopia
1382,FistBump,FIST,FistBump is a PoW/PoS cryptocurrency based on Peercoin and using the X13 algorithm.,,X13,PoW/PoS,01/06/2015,,Yobit
1383,NinjaDoge,NDOGE,NinjaDoge is a PoW/PoS cryptocurrency based on the X11 algorithm. Ninja is a type of launch that consists in a quick PoW stage (15 days for NDOGE) with little previous advertisement.,,X11,PoW/PoS,20/03/2015,,Yobit
1384,IOS token,IOST,The Internet of Services (IOS) is an Ethereum-based platform that provides its users a way to exchange online services and digital goods. I also enables developers to deploy large scale dApps.IOS token is an ERC20 token that serves as a medium of exchange on IOS&#39; platform.,21000000000,,,20/01/2018,,HuobiPro
1385,BetaCoin,BET,Betacoin is a decentralized Internet currency that enables instant payments to anyone in the world. It is based on the Bitcoin protocol but differs from Bitcoin in some specifications. Betacoin provides faster transaction confirmations (4 minutes average block generating time). The Betacoin network is scheduled to produce 32 million currency units.,32000000,SHA256,PoW,24/10/2013,0.0,"Cryptsy, WavesDEX, Coinse, Novaexchange, EtherDelta, HitBTC"
1386,Serenity,SRNT,"Serenity is a blockchain platform that protects the interests of traders and investors. The platform ensures security of traders&#39; funds by placing them on Serenity smart contracts. The contract is created and structured to ensure that funds transfer proceed only by the mutual consent of the trader and the broker. If a conflict occurs, Serenity can mediate in the transaction.For the decision to be transparent and legitimate, Serenity records digital signatures of broker-trader interactions in blockchain. This technology reduces commonly associated financial risks for traders in any part of the world.",400000000,,,25/01/2018,,
1387,Steneum Coin,STN,Steneum Coin is a Proof of Work cryptocurrency based on the Scrypt algorithm. It features a unique saving program and will be used in the bitsten.com exchange project.,20000000,Scrypt,PoW,10/11/2017,,Cryptopia
1388,BitstarCoin,BITS,BitstarCoin is a Scrypt PoW/PoS hybrid. The PoW phase lasts for 21 days and then the PoS staking begins at 35% for Y1 - dropping to 1% in yr 5. The difficulty retargets every block and the block time is set to 30 seconds allowing for a two minute transaction confirmation.,54256119,Scrypt,PoW/PoS,17/04/2014,23079737.0,"Novaexchange, Yobit, Cryptopia, EtherDelta, BitTrex, Poloniex"
